product_code,product_name,fundamental_score,inventory_bias,supply_bias,demand_bias,macro_bias,note,updated_at
M,豆粕,-21,neutral,bearish,neutral,neutral,AKShare现货/基差代理：现货2900.0，主力基差率0.0255，现货动量分5，基差分-26。,20260626
RM,菜粕,45,neutral,bullish,neutral,neutral,AKShare现货/基差代理：现货2406.0，主力基差率-0.0420，现货动量分5，基差分40。,20260626
Y,豆油,16,neutral,neutral,neutral,neutral,AKShare现货/基差代理：现货8524.0，主力基差率-0.0097，现货动量分6，基差分10。,20260626
P,棕榈,-15,neutral,neutral,neutral,neutral,AKShare现货/基差代理：现货9140.0，主力基差率0.0191，现货动量分4，基差分-19。,20260626
OI,菜油,15,neutral,bullish,neutral,neutral,AKShare现货/基差代理：现货9902.0，主力基差率-0.0244，现货动量分-9，基差分24。,20260626
C,玉米,-11,neutral,neutral,neutral,neutral,AKShare现货/基差代理：现货2298.57，主力基差率0.0106，现货动量分0，基差分-11。,20260626
SR,白糖,7,neutral,neutral,neutral,neutral,AKShare现货/基差代理：现货5275.0，主力基差率-0.0106，现货动量分-4，基差分11。,20260626
CF,棉花,52,bullish,bullish,neutral,neutral,AKShare现货/基差代理：现货17417.67，主力基差率-0.0983，现货动量分0，基差分40。郑商所棉花仓单：仓单33570张，当日增减-126张，有效预报634张，库存分12。,20260626
LH,生猪,-42,neutral,bearish,neutral,neutral,AKShare现货/基差代理：现货9470.0，主力基差率0.2603，现货动量分-2，基差分-40。,20260626
PK,花生,0,neutral,neutral,neutral,neutral,未取得AKShare现货/基差数据，按中性处理：该品种无现货/基差行,2026-06-26
AP,鲜苹果,0,neutral,neutral,neutral,neutral,未取得AKShare现货/基差数据，按中性处理：该品种无现货/基差行,2026-06-26
JD,鸡蛋,-24,neutral,neutral,bearish,neutral,AKShare现货/基差代理：现货4350.0，主力基差率-0.0060，现货动量分-30，基差分6。,20260626
